make	probed_nameplate	vehicles	rows	outcome	outcome_live	suggest	raw_samples
Toyota	Yaris Ativ	53642	1	toyota/yaris-ativ	LIVE	toyota/yaris-ativ	YARIS ATIV
Toyota	Yaris Cross	34709	1	toyota/yaris-cross	LIVE	toyota/yaris-cross	YARIS CROSS
Honda	City	29097	2	honda/city	LIVE	honda/city	CITY | CITY HATCHBACK
Isuzu	D-Max	26832	1	isuzu/d-max	LIVE	isuzu/d-max	D-MAX
Toyota	Hilux Revo	24761	1	toyota/hilux	LIVE	toyota/hilux	HILUX REVO
Honda	HR-V	22051	1	honda/hr-v	LIVE	honda/hr-v	HR-V
Toyota	Corolla Cross	14458	1	toyota/corolla-cross	LIVE	toyota/corolla-cross	COROLLA CROSS
Toyota	Fortuner	14321	1	toyota/fortuner	LIVE	toyota/fortuner	FORTUNER
BYD	Dolphin	12377	2	byd/dolphin	LIVE	byd/dolphin	BYD DOLPHIN (435KM-STD) | BYD DOLPHIN (490KM-EXT)
Isuzu	Mu-X	12145	1	isuzu/mu-x	LIVE	isuzu/mu-x	MU-X
Honda	Civic	11140	1	honda/civic	LIVE	honda/civic	CIVIC
MG	MG4	10759	1	mg/mg4	LIVE	mg/mg4	MG4 ELECTRIC
Ford	Ranger	9019	2	ford/ranger	LIVE	ford/ranger	FORD RANGER | RANGER
Toyota	Commuter	8041	1	toyota/commuter	LIVE	toyota/commuter	COMMUTER
BYD	ATTO3	7913	3	byd/atto-3	LIVE		BYD ATTO3 (410KM-DYNAMIC) | BYD ATTO3 (410KM-PREMIUM) | BYD ATTO3 (480KM-EXT)
Ford	Everest	7908	2	ford/everest	LIVE	ford/everest	EVEREST | FORD EVEREST
BYD	Sealion 6	7843	3	byd/sealion-6	LIVE	byd/sealion-6	BYD SEALION 6 | BYD SEALION 6 DM-i DYNAMIC | BYD SEALION 6 DM-i PREMIUM
Toyota	Camry	7330	2	toyota/camry	LIVE	toyota/camry	Camry | CAMRY
Honda	Cr-V	6369	1	honda/cr-v	LIVE	honda/cr-v	CR-V
Ora	Good Cat	5946	1	ora/good-cat	LIVE	ora/good-cat	GOOD CAT
Toyota	Yaris	5636	1	toyota/yaris	LIVE	toyota/yaris	YARIS
Jaecoo	5 EV Long Range Max	5514	1	jaecoo/jaecoo-5	LIVE		5 EV Long Range Max
Great Wall	Tank 300	4591	1	great-wall/tank-300	LIVE	great-wall/tank-300	GWM TANK 300
BYD	Sealion 7	4485	1	byd/sealion-7	LIVE	byd/sealion-7	BYD SEALION 7 AWD
Mitsubishi	Triton	4324	1	mitsubishi/triton	LIVE	mitsubishi/triton	TRITON
Toyota	Corolla	4290	1	toyota/corolla	LIVE	toyota/corolla	COROLLA
Mitsubishi	Xpander Cross HEV	4230	1	mitsubishi/xpander-cross	LIVE	mitsubishi/xpander-cross	XPANDER CROSS HEV
Deepal	S07	4214	1	deepal/s07	LIVE	deepal/s07	S07
Mitsubishi	Xforce HEV	4103	1	mitsubishi/xforce	LIVE	mitsubishi/xforce	XFORCE HEV
Aion	V 602 Luxury	4086	1	aion/v-602-luxury	LIVE	aion/v-602-luxury	AION V 602 LUXURY
Toyota	Veloz	3947	1	toyota/veloz	LIVE	toyota/veloz	VELOZ
Mazda	2	3932	1	mazda/mazda2	LIVE		MAZDA 2
BYD	Sealion 7 Rwd	3887	1	byd/sealion-7	LIVE	byd/sealion-7	BYD SEALION 7 RWD
Tesla	Model Y	3460	4	tesla/model-y	LIVE	tesla/model-y	Model Y Rear-Wheel Drive | MODEL Y LONG RANGE | MODEL Y PERFORMANCE | MODEL Y RWD
Changan	Lumin L Dc	3048	1	changan/lumin-l-dc	LIVE	changan/lumin-l-dc	LUMIN L DC
MG	S5 EV	3001	1	mg/mgs5-ev	LIVE		S5 EV
Aion	Y Plus	2989	1	aion/y-plus	LIVE	aion/y-plus	AION Y PLUS
Nissan	Almera	2905	1	nissan/almera	LIVE	nissan/almera	ALMERA
Mitsubishi	Mirage	2843	1	mitsubishi/mirage	LIVE	mitsubishi/mirage	MIRAGE
BMW	3 Series	2811	15	bmw/3-series	LIVE	bmw/3-series	320d | 320d GT Luxury | 320d GT M Sport | 320d GT Sport
Aion	Ut 420 Standard	2782	1	aion/ut-420-standard	LIVE	aion/ut-420-standard	AION UT 420 STANDARD
Denza	D9 Fwd	2703	1	denza/d9-fwd	LIVE	denza/d9-fwd	DENZA D9 FWD
Toyota	Alphard	2636	16	toyota/alphard	LIVE	toyota/alphard	ALPHARD | ALPHARD HYBRID 2.5 S TYPE GOLD | ALPHARD HYBRID EXECUTIVE | ALPHARD HYBRID GF 2.5L
Mitsubishi	Attrage	2571	1	mitsubishi/attrage	LIVE	mitsubishi/attrage	ATTRAGE
Deepal	S05 Max	2400	1	deepal/s05-max	LIVE	deepal/s05-max	S05 MAX
Neta	V-II	2384	1	neta/v-ii	LIVE	neta/v-ii	NETA V-II
Toyota	Hiace Majesty	2325	1	toyota/hiace-majesty	LIVE	toyota/hiace-majesty	HIACE MAJESTY
Ford	Ranger Raptor	2122	1	ford/ranger	LIVE	ford/ranger	RANGER RAPTOR
MG	Ep	2067	1	mg/ep	LIVE	mg/ep	EP
Jaecoo	6 EV Long Range	2054	1	jaecoo/jaecoo-6	LIVE		6 EV Long Range 4WD
Zeekr	009	1904	1	zeekr/009	LIVE	zeekr/009	ZEEKR 009
Nissan	Kicks	1877	1	nissan/kicks	LIVE	nissan/kicks	KICKS
Nissan	Serena	1857	3	nissan/serena	LIVE	nissan/serena	SERENA | SERENA e-POWER | SERENA HYBRID 2.0 HIGHWAY STAR
BYD	M6 Extended	1852	1	byd/m6	LIVE	byd/m6	BYD M6 EXTENDED
Mitsubishi	Pajero Sport	1846	1	mitsubishi/pajero-sport	LIVE	mitsubishi/pajero-sport	PAJERO SPORT
Aion	Hyptec Ht 620 Premium	1839	1	aion/hyptec-ht-620-premium	LIVE	aion/hyptec-ht-620-premium	HYPTEC HT 620 PREMIUM
MG	MG5	1834	1	mg/mg5	LIVE	mg/mg5	MG5
BMW	X1	1768	9	bmw/x1	LIVE	bmw/x1	X1 sDrive18d xLine | X1 sDrive18i | X1 sDrive20d M Sport | X1 sDrive20d xLine
Honda	Accord	1758	2	honda/accord	LIVE	honda/accord	ACCORD | ACCORD HYBRID
Mercedes-Benz	C-Class	1654	11	mercedes-benz/c-class	LIVE	mercedes-benz/c-class	AMG C 43 4MATIC | AMG C43 4MATIC Coupe | C 180 COUPE | C 200 Coupe
Geely	EX5	1607	1	geely/ex5	LIVE	geely/ex5	EX5
MG	MG3	1563	1	mg/mg3	LIVE	mg/mg3	MG3
BMW	5 Series	1521	8	bmw/5-series	LIVE	bmw/5-series	520d M Sport | 520d M Sport Pro | 520d Sport | 530e Elite
Omoda	C5 EV Long Range Max	1495	1	omoda/omoda-5	LIVE		C5 EV Long Range Max
Tesla	Model 3	1489	7	tesla/model-3	LIVE	tesla/model-3	Model 3 Long Range RWD | Model 3 Performance | Model 3 Rear-Wheel Drive | MODEL 3 LONG RANGE
Mitsubishi	Xpander HEV	1474	1	mitsubishi/xpander	LIVE	mitsubishi/xpander	XPANDER HEV
Toyota	Innova	1463	1	toyota/innova	LIVE	toyota/innova	INNOVA
Mercedes-Benz	E-Class	1429	9	mercedes-benz/e-class	LIVE	mercedes-benz/e-class	AMG E 53 4MATIC+ | E 200 Cabriolet | E 200 Coupe | E 220 d
Mercedes-Benz	GLC	1288	10	mercedes-benz/glc	LIVE	mercedes-benz/glc	AMG GLC 43 4MATIC Coupe | GLC 220 d | GLC 220 d 4MATIC | GLC 220 d 4MATIC Coupe
Mazda	CX-3	1268	2	mazda/cx-3	LIVE	mazda/cx-3	CX-3 | MAZDA CX-3
MG	IM6	1258	1	mg/im6	LIVE	mg/im6	IM6
Mazda	CX-30	1156	1	mazda/cx-30	LIVE	mazda/cx-30	MAZDA CX-30
Toyota	Vellfire	1138	6	toyota/vellfire	LIVE	toyota/vellfire	VELLFIRE | VELLFIRE HYBRID EXECUTIVE | VELLFIRE HYBRID V L EDITION | VELLFIRE HYBRID Z 2.5L
Nissan	Navara	1093	1	nissan/navara	LIVE	nissan/navara	NAVARA
Hyundai	Staria	1089	1	hyundai/staria	LIVE	hyundai/staria	STARIA
Mitsubishi	Xpander	1058	1	mitsubishi/xpander	LIVE	mitsubishi/xpander	XPANDER
Kia	Carnival	1027	1	kia/carnival	LIVE	kia/carnival	CARNIVAL
Haval	Jolion	1013	1	haval/jolion	LIVE	haval/jolion	JOLION HYBRID
Omoda	C5 EV Long Range Ultimate	976	1	omoda/c5-ev-long-range-ultimate	no		C5 EV Long Range Ultimate
XPeng	X9 Long Range	973	3	xpeng/x9-long-range	no	xpeng/x9	X9 LONG RANGE | X9 LONG RANGE(EXECUTIVE) | X9 LONG RANGE(LUXURY)
Porsche	Cayenne	972	8	porsche/cayenne	LIVE	porsche/cayenne	CAYENNE | CAYENNE COUPE | CAYENNE E-HYBRID | CAYENNE E-HYBRID COUPE
Aion	Ut 500 Premium	947	1	aion/ut-500-premium	no	aion/ut	AION UT 500 PREMIUM
Suzuki	Swift Glx 1.2L Cvt	893	1	suzuki/swift-glx-1-2l-cvt	no	suzuki/swift	SWIFT GLX 1.2L CVT
Mercedes-Benz	CLS	884	5	mercedes-benz/cls	LIVE	mercedes-benz/cls	AMG CLS 53 4MATIC | CLS 220 d | CLS 250 CDI BE COUPE | CLS 300 d
BYD	Seal Exd Rwd	837	1	byd/seal	LIVE	byd/seal	BYD SEAL EXD RWD
Neta	X	835	1	neta/x	LIVE	neta/x	NETA X
Ora	07	827	1	ora/07	no		ORA 07
Volvo	EX30	800	1	volvo/ex30	LIVE	volvo/ex30	EX30
Suzuki	Swift GL Next 1.2L Cvt	785	1	suzuki/swift-gl-next-1-2l-cvt	no	suzuki/swift	SWIFT GL NEXT 1.2L CVT
Suzuki	Celerio Gx 1.0L Cvt	775	1	suzuki/celerio-gx-1-0l-cvt	no	suzuki/celerio	CELERIO GX 1.0L CVT
BMW	2 Series	744	5	bmw/2-series	LIVE	bmw/2-series	220 Gran Coupe M Sport Pr | 220i Gran Coupe M Sport | 220i Gran Coupe Sport | 220I COUPE RHD
Toyota	Hilux Travo	732	1	toyota/hilux-travo	no	toyota/hilux	HILUX TRAVO
Toyota	Alphard Z 2WD	728	1	toyota/alphard-z-2wd	no	toyota/alphard	ALPHARD Z 2WD
BMW	X3	711	8	bmw/x3	LIVE	bmw/x3	X3 20d xDrive M Sport Pro | X3 20d xDrive RHD | X3 M RHD | X3 M50 xDrive
Mazda	CX-5	708	1	mazda/cx-5	LIVE	mazda/cx-5	MAZDA CX-5
Haval	H6	704	2	haval/h6	LIVE	haval/h6	H6 HYBRID | H6 PLUG-IN HYBRID
Kia	EV5	690	1	kia/ev5	LIVE	kia/ev5	EV5
MG	HS	674	2	mg/hs	LIVE	mg/hs	HS | HS PHEV
Mercedes-Benz	GLA	666	3	mercedes-benz/gla	LIVE	mercedes-benz/gla	AMG GLA 35 4MATIC | GLA 200 | GLA 250
MG	ZS	657	1	mg/zs	LIVE	mg/zs	ZS
Avatr	11 Long Range	656	1	avatr/11-long-range	no		AVATR 11 LONG RANGE
BYD	Seal 5	650	1	byd/seal-5	LIVE	byd/seal-5	BYD SEAL 5 DM-i PREMIUM
Aion	Es	648	1	aion/es	no		AION ES
XPeng	G6 Standard Range	637	1	xpeng/g6-standard-range	LIVE	xpeng/g6-standard-range	G6 STANDARD RANGE
MG	Vs HEV	606	1	mg/vs-hev	no		VS HEV
Deepal	S05 Reev Max	602	1	deepal/s05-reev-max	no	deepal/s05	S05 REEV MAX
Toyota	Hiace	599	1	toyota/hiace	LIVE	toyota/hiace	HIACE
XPeng	G6 Long Range	584	1	xpeng/g6-long-range	LIVE	xpeng/g6-long-range	G6 LONG RANGE
Jaecoo	6 EV Long Range 2WD Pro	577	1	jaecoo/6-ev-long-range-2wd-pro	no		6 EV Long Range 2WD PRO
Mini	Aceman	566	2	mini/aceman	LIVE	mini/aceman	Aceman SE RHD | JCW Aceman E
Suzuki	Swift GL 1.2L Cvt	538	1	suzuki/swift-gl-1-2l-cvt	no	suzuki/swift	SWIFT GL 1.2L CVT
Mini	Cooper	536	8	mini/cooper	LIVE	mini/cooper	Cooper Hatch RHD | Cooper S Hatch RHD | Cooper SE Hatch RHD | Cooper SE RHD
Suzuki	Ertiga Gx 1.5L	518	1	suzuki/ertiga-gx-1-5l	no		ERTIGA GX 1.5L
Hyundai	Stargazer	493	1	hyundai/stargazer	LIVE	hyundai/stargazer	STARGAZER
Nissan	Terra	493	1	nissan/terra	LIVE	nissan/terra	TERRA
MG	Extender	473	1	mg/extender	no		MG EXTENDER
Honda	Wr-V	468	1	honda/wr-v	LIVE	honda/wr-v	WR-V
Volvo	EX40	467	1	volvo/ex40	LIVE	volvo/ex40	EX40
BYD	Seal Exd	464	1	byd/seal	LIVE	byd/seal	BYD SEAL EXD AWD
BMW	X5	459	3	bmw/x5	LIVE	bmw/x5	X5 xDrive30d M Sport | X5 xDrive45e M Sport | X5 xDrive50e RHD
Mercedes-Benz	CLE	455	3	mercedes-benz/cle	LIVE	mercedes-benz/cle	AMG CLE 53 4MATIC coupe | CLE 300 4MATIC coupe | MERCEDES-AMG CLE 53
BMW	iX3	443	1	bmw/ix3	LIVE	bmw/ix3	iX3 M Sport RHD
MG	ZS EV	442	1	mg/zs-ev	LIVE	mg/zs-ev	ZS EV
Gwm Tank	300	439	1	gwm-tank/300	no		300 HYBRID
BYD	M6 Dynamic	423	1	byd/m6	LIVE	byd/m6	BYD M6 DYNAMIC
Zeekr	X	420	1	zeekr/x	LIVE	zeekr/x	ZEEKR X
Deepal	L07	410	1	deepal/l07	LIVE	deepal/l07	L07
Denza	D9	391	1	denza/d9	LIVE	denza/d9	DENZA D9 AWD
Mercedes-Benz	A-Class	384	1	mercedes-benz/a-class	LIVE	mercedes-benz/a-class	A 200
Mini	Countryman	377	6	mini/countryman	LIVE	mini/countryman	Cooper S Countryman | Cooper S Countryman RHD | Countryman S ALL4 | Countryman SE ALL4 RHD
Wuling	Binguo Srdth	372	1	wuling/binguo-srdth	no		Binguo SRDTH
Jaecoo	6 EV Long Range 2WD	371	1	jaecoo/6-ev-long-range-2wd	no		6 EV Long Range 2WD
Volvo	EC40	363	1	volvo/ec40	LIVE	volvo/ec40	EC40
Riddara	RD6 Pro 2WD	358	1	riddara/rd6-pro-2wd	no		RD6 PRO 2WD
BMW	X4	353	3	bmw/x4	LIVE	bmw/x4	X4 M RHD | X4 xDrive20d M Sport | X4 xDrive20d RHD
Jaecoo	7 Shs Max	352	1	jaecoo/7-shs-max	no		7 SHS Max
Mercedes-Benz	EQE	344	3	mercedes-benz/eqe	LIVE	mercedes-benz/eqe	AMG EQE 53 4MATIC+ | EQE 300 | EQE 350 4MATIC SUV
Zeekr	7X	344	1	zeekr/7x	LIVE	zeekr/7x	ZEEKR 7X
BYD	Seal Std Rwd	342	1	byd/seal	LIVE	byd/seal	BYD SEAL STD RWD
Mazda	3	335	1	mazda/mazda3	LIVE		MAZDA 3
Mercedes-Benz	GLE	332	6	mercedes-benz/gle	LIVE	mercedes-benz/gle	AMG GLE 53 4MATIC+ | AMG GLE 53 HYBRID 4MATIC+ | GLE 300 d 4MATIC | GLE 350 de 4MATIC
Chery	V23 2WD Plus	321	1	chery/v23-2wd-plus	no	chery/v23	V23 2WD PLUS
Deepal	S07 L	319	1	deepal/s07-l	no	deepal/s07	S07 L
Lexus	LM350H	317	1	lexus/lm	LIVE		LM350H
Haval	H6 HEV Ultra	304	1	haval/h6-hev-ultra	no	haval/h6	H6 HEV ULTRA
Suzuki	Celerio GL 1.0L Cvt	296	1	suzuki/celerio-gl-1-0l-cvt	no	suzuki/celerio	CELERIO GL 1.0L CVT
Chery	V23	291	1	chery/v23	LIVE	chery/v23	V23 4WD PEAK
Great Wall	Tank 500	280	1	great-wall/tank-500	LIVE	great-wall/tank-500	GWM TANK 500
XPeng	X9 Standard Range	275	1	xpeng/x9-standard-range	no	xpeng/x9	X9 STANDARD RANGE
MG	Maxus 7	274	1	mg/maxus-7	no		MAXUS 7
Suzuki	XL7 1.5L	271	1	suzuki/xl7-1-5l	no	suzuki/xl7	XL7 1.5L
XPeng	G6 Rwd Long Range	263	1	xpeng/g6-rwd-long-range	no	xpeng/g6	G6 RWD Long Range
MG	Maxus 9	252	1	mg/maxus-9	no		MAXUS 9
Subaru	Forester 2.0I-S Es	248	1	subaru/forester-2-0i-s-es	no	subaru/forester	FORESTER 2.0i-S ES
Aion	Hyptec Ht 620 Luxury	247	1	aion/hyptec-ht-620-luxury	no		HYPTEC HT 620 LUXURY
BMW	i5	241	3	bmw/i5	LIVE	bmw/i5	i5 eDrive40 RHD | i5 eDrive40 Touring RHD | i5 M60 xDrive RHD
Honda	E:N1	238	1	honda/e-n1	LIVE	honda/e-n1	e:N1
Wuling	Binguo Srd	237	1	wuling/binguo-srd	no		Binguo SRD
BMW	iX	222	3	bmw/ix	LIVE	bmw/ix	iX xDrive40 RHD | iX xDrive50 | iX xDrive50 RHD
Volvo	XC60	221	1	volvo/xc60	LIVE	volvo/xc60	XC60
Hyundai	Santa FE	216	1	hyundai/santa-fe	LIVE	hyundai/santa-fe	SANTA FE
BMW	4 Series	210	7	bmw/4-series	LIVE	bmw/4-series	420D COUPE RHD | 420i Coupe RHD | 430D CONVERTIBLE Mild-hybrid | 430i Cabrio RHD
Porsche	911	205	35	porsche/911	LIVE	porsche/911	911 CARRERA | 911 CARRERA 4 GTS | 911 CARRERA 4 GTS CABRIOLET | 911 CARRERA 4S
Changan	Lumin	204	1	changan/lumin	no		LUMIN
Hyundai	Palisade	202	1	hyundai/palisade	LIVE	hyundai/palisade	PALISADE
Audi	A5	200	12	audi/a5	LIVE	audi/a5	A5 Avant e-hybrid q Tech Pro | A5 CP 40 TFSI S line | A5 CP 40 TFSI S line eo | A5 CP 45 TFSI q S line BE
Porsche	Panamera	198	7	porsche/panamera	LIVE	porsche/panamera	PANAMERA 4 E-HYBRID | PANAMERA 4 E-HYBRID EXEC. | PANAMERA 4 E-HYBRID EXECUTIVE | PANAMERA 4 E-HYBRID P.E.
Porsche	Macan	194	10	porsche/macan	LIVE	porsche/macan	MACAN | MACAN 2.0 | MACAN 2.0 PDK | MACAN 4
Mazda	CX-8	193	1	mazda/cx-8	LIVE	mazda/cx-8	MAZDA CX-8
Subaru	Xv 2.0I-P Es	189	1	subaru/xv-2-0i-p-es	no	subaru/xv	XV 2.0i-P ES
Hyundai	H-1	181	1	hyundai/h-1	LIVE	hyundai/h-1	H-1
Deepal	S05 Plus	177	1	deepal/s05-plus	no	deepal/s05	S05 PLUS
Hyundai	Creta	171	1	hyundai/creta	LIVE	hyundai/creta	CRETA
MG	Cyberster	166	1	mg/cyberster	LIVE	mg/cyberster	CYBERSTER
BMW	X6	163	1	bmw/x6	LIVE	bmw/x6	X6 xDrive40i M Sport
Porsche	Taycan	163	12	porsche/taycan	LIVE	porsche/taycan	TAYCAN | TAYCAN 4 | TAYCAN 4 CROSS TURISMO | TAYCAN 4S
Mercedes-Benz	EQS	163	5	mercedes-benz/eqs	LIVE	mercedes-benz/eqs	EQS 450 4MATIC SUV | EQS 450 PLUS | EQS 450+ | EQS 500 4MATIC
Volvo	XC90	163	1	volvo/xc90	LIVE	volvo/xc90	XC90
Honda	Step Wgn E-HEV Spada Premium	159	1	honda/step-wgn-e-hev-spada-premium	no		STEP WGN e-HEV SPADA PREMIUM
Volvo	XC40	158	1	volvo/xc40	LIVE	volvo/xc40	XC40
Suzuki	Celerio Ga 1.0L MT	158	1	suzuki/celerio-ga-1-0l-mt	no	suzuki/celerio	CELERIO GA 1.0L MT
Aion	Y Plus 490 Premium	154	1	aion/y-plus-490-premium	no	aion/y-plus	AION Y PLUS 490 PREMIUM
BMW	7 Series	153	5	bmw/7-series	LIVE	bmw/7-series	730Ld M Sport | 740d M Sport | 745Le xDrive M Sport | 750e xDrive M Sport
BMW	X7	151	3	bmw/x7	LIVE	bmw/x7	X7 M60i xDrive | X7 xDrive30d M Sport | X7 xDrive40d M Sport
Volvo	V60	147	1	volvo/v60	LIVE	volvo/v60	V60
Toyota	Alphard Z 2.5L	147	1	toyota/alphard-z-2-5l	no	toyota/alphard	ALPHARD Z 2.5L
Audi	TT	145	6	audi/tt	LIVE	audi/tt	TT Coupe 45 TFSI q S line | TT Coupe Final Icon Black | TT RD 45 TFSI q S line | TT RD Final Icon Black
Volvo	C40	141	1	volvo/c40	LIVE	volvo/c40	C40
Chery	V23 2WD Play	136	1	chery/v23-2wd-play	no	chery/v23	V23 2WD PLAY
Mercedes-Benz	S-Class	135	5	mercedes-benz/s-class	LIVE	mercedes-benz/s-class	S 350 d | S 350D LWB SALOON | S 560 e | S 580 e
Deepal	E07 Plus	134	1	deepal/e07-plus	no		E07 PLUS
Toyota	Voxy	133	3	toyota/voxy	LIVE	toyota/voxy	VOXY HYBRID S-G | VOXY HYBRID S-Z | VOXY HYBRID SZ 1.8L
Lexus	LM500H	127	2	lexus/lm	LIVE		LM500H | LM500H AWD
Hyundai	Ioniq 5	126	2	hyundai/ioniq-5	LIVE	hyundai/ioniq-5	IONIQ5 | IONIQ5 N
Riddara	Horizon Pro	126	2	riddara/horizon-pro	no		HORIZON PRO 4WD | HORIZON PRO 4WD SUNROOF
Kia	Sorento	123	1	kia/sorento	LIVE	kia/sorento	SORENTO
BMW	i4	122	3	bmw/i4	LIVE	bmw/i4	i4 eDrive35 Gran Coupe RH | i4 eDrive40 Gran Coupe RH | i4 M50 Gran Coupe RHD
Mercedes-Benz	G-Class	121	13	mercedes-benz/g-class	LIVE	mercedes-benz/g-class	AMG G 63 | AMG G400D | G 350 d | G 450 d
Toyota	Vellfire Z Premier	116	3	toyota/vellfire-z-premier	no	toyota/vellfire	VELLFIRE Z PREMIER | VELLFIRE Z PREMIER HYBRID | VELLFIRE Z PREMIER HYBRID 2.5L
Omoda	C5 EV Long Range Plus	115	1	omoda/c5-ev-long-range-plus	no		C5 EV Long Range Plus
Gwm Tank	500	115	1	gwm-tank/500	no		500 HYBRID
GAC	M8	111	1	gac/m8	LIVE	gac/m8	M8 PHEV PREMIUM
Jaecoo	5 EV Long Range Dynamic	105	1	jaecoo/5-ev-long-range-dynamic	no		5 EV Long Range Dynamic
BMW	i7	103	2	bmw/i7	LIVE	bmw/i7	i7 M70 xDrive RHD | i7 xDrive60 Limousine RHD
Deepal	E07 Performance	102	1	deepal/e07-performance	no		E07 PERFORMANCE AWD
Audi	Q3	98	3	audi/q3	LIVE	audi/q3	Q3 35 TFSI S line | Q3 40 TFSI q S line BE | Q3 SB 40 TFSI q S line BE
Audi	Q8	98	7	audi/q8	LIVE	audi/q8	Q8 55 TFSI q S line | Q8 60 TFSI e q S line BE | Q8 e-tron 50 q | Q8 etron 55 q BE
Suzuki	Fronx 1.5L	98	1	suzuki/fronx-1-5l	no	suzuki/fronx	FRONX 1.5L
Leapmotor	C10 EV	96	1	leapmotor/c10-ev	no	leapmotor/c10	C10 EV
Riddara	Horizon	95	1	riddara/horizon	no		HORIZON 4WD
Wuling	Air EV Lr	95	1	wuling/air-ev-lr	no		Air EV LR
Toyota	Hilux Champ	94	1	toyota/hilux-champ	no	toyota/hilux	HILUX CHAMP
Toyota	Alphard 2.5	94	7	DROPPED	no	toyota/alphard	ALPHARD 2.5 HYBRID EXECUTIVE | ALPHARD 2.5 HYBRID G F PACKAGE | ALPHARD 2.5 HYBRID SR C | ALPHARD 2.5 HYBRID SRC PACKAGE
Lexus	NX350H	94	1	lexus/nx	LIVE		NX350H
Porsche	718	92	13	porsche/718	LIVE	porsche/718	718 BOXSTER | 718 BOXSTER GTS 4.0 | 718 BOXSTER STYLE EDITION | 718 BOXSTER T
Toyota	Alphard 2.5 Sc Package	91	1	DROPPED	no	toyota/alphard	ALPHARD 2.5 SC PACKAGE
Subaru	Forester 2.0I-L Es	90	1	subaru/forester-2-0i-l-es	no	subaru/forester	FORESTER 2.0i-L ES
Riddara	RD6 2WD	90	1	riddara/rd6-2wd	no		RD6 2WD
Audi	Q5	89	4	audi/q5	LIVE	audi/q5	Q5 35 TDI q | Q5 55 TFSI e q S line | Q5 55 TFSI e q S line BE | Q5 SB 55 TFSIe q S lineBE
Toyota	Alphard Z 2WD 2.5L	88	1	toyota/alphard-z-2wd-2-5l	no	toyota/alphard	ALPHARD Z 2WD 2.5L
Toyota	Alphard 2.5 Z	87	1	DROPPED	no	toyota/alphard	ALPHARD 2.5 Z
Toyota	Alphard Z	86	5	toyota/alphard-z	no	toyota/alphard	ALPHARD Z | ALPHARD Z 4WD | ALPHARD Z HYBRID | ALPHARD Z HYBRID 2.5L
Mazda	Bt-50	84	1	mazda/bt50	LIVE		MAZDA BT-50
BMW	iX1	83	1	bmw/ix1	LIVE	bmw/ix1	iX1 eDrive20L
Volvo	S60	80	2	volvo/s60	LIVE	volvo/s60	S60 | S60 T5
Mini	Jcw E	79	1	mini/jcw-e	LIVE	mini/jcw-e	JCW E
Honda	Br-V	79	1	honda/br-v	no		BR-V
Mercedes-Benz	Maybach	77	5	mercedes-benz/maybach	LIVE	mercedes-benz/maybach	Maybach GLS 600 4MATIC | Maybach S 580 4MATIC | Maybach S 580 e | MAYBACH EQS 680 SUV
Lexus	NX450H	76	1	lexus/nx	LIVE		NX450H+
Suzuki	Ertiga GL 1.5L	76	1	suzuki/ertiga-gl-1-5l	no		ERTIGA GL 1.5L
BMW	6 Series	76	1	bmw/6-series	LIVE	bmw/6-series	630i Gran Turismo RHD
Mercedes-Benz	GLS	76	2	mercedes-benz/gls	LIVE	mercedes-benz/gls	GLS 350 d 4MATIC | GLS 450 d 4MATIC
Suzuki	Jimny Sierra Jc	73	2	suzuki/jimny-sierra-jc	no	suzuki/jimny-sierra	JIMNY SIERRA JC | JIMNY SIERRA JC 4WD
Lexus	RX450H	73	1	lexus/rx	LIVE		RX450H+
BMW	Xm 50E Rhd	72	1	bmw/xm-50e-rhd	no	bmw/xm	XM 50e RHD
Mercedes-Benz	V-Class	70	2	mercedes-benz/v-class	LIVE	mercedes-benz/v-class	V 250 d | V 300 d
Toyota	Alphard Sc Package 2.5L	70	1	toyota/alphard-sc-package-2-5l	no	toyota/alphard	ALPHARD SC PACKAGE 2.5L
Suzuki	Carry 1.5L MT	69	1	suzuki/carry-1-5l-mt	no		CARRY 1.5L MT
Volvo	S90	65	1	volvo/s90	LIVE	volvo/s90	S90
Mini	Convertible	64	4	mini/convertible	LIVE	mini/convertible	Cooper S Cabrio RHD | Cooper S Convertible RHD | JCW Convertible RHD | John Cooper Works cabrio
BMW	Z4	64	2	bmw/z4	LIVE	bmw/z4	Z4 M40i RHD | Z4 sDrive30i RHD
Suzuki	Celerio GL Up 1.0L Cvt	60	1	suzuki/celerio-gl-up-1-0l-cvt	no	suzuki/celerio	CELERIO GL UP 1.0L CVT
Lotus	Eletre S	53	1	lotus/eletre-s	no	lotus/eletre	ELETRE S
Toyota	Alphard Sc Package	53	1	toyota/alphard-sc-package	no	toyota/alphard	ALPHARD SC PACKAGE
Suzuki	Jimny Sierra	52	2	suzuki/jimny-sierra	LIVE	suzuki/jimny-sierra	JIMNY SIERRA | JIMNY SIERRA 4WD
XPeng	G6	51	1	xpeng/g6	LIVE	xpeng/g6	G6 AWD Performance
Land Rover	Defender	50	8	land-rover/defender	LIVE	land-rover/defender	DEFENDER 110 FIRST EDITION | DEFENDER 2.0L T/C AWD AUTO SE | DEFENDER 2.0L T/C PETROL PHEV | DEFENDER 3.0 LITRE T/C MHEV
Suzuki	Jimny 1.5L 4AT	48	1	suzuki/jimny-1-5l-4at	no	suzuki/jimny	JIMNY 1.5L 4AT
