make	probed_nameplate	vehicles	rows	outcome	outcome_live	suggest	raw_samples
GMC	Hummer EV Edition 1	1	1	gmc/hummer-ev-edition-1	no	gmc/hummer-ev	HUMMER EV EDITION 1
Toyota	Land Cruiser Active 2.8D	1	1	toyota/land-cruiser-active-2-8d	no	toyota/land-cruiser	LAND CRUISER ACTIVE 2.8D
Geely	Galaxy E5	1	1	geely/galaxy-e5	LIVE	geely/galaxy-e5	GALAXY E5
Toyota	Land Cruiser Gr	1	1	toyota/land-cruiser-gr	no	toyota/land-cruiser	LAND CRUISER GR
Foton	E-Tunland	1	1	foton/e-tunland	no		E-TUNLAND
Toyota	Land Cruiser Gx 3.5L	1	1	toyota/land-cruiser-gx-3-5l	no	toyota/land-cruiser	LAND CRUISER GX 3.5L
Ford	Ranger Swb	1	1	ford/ranger-swb	no	ford/ranger	RANGER SWB
Toyota	Land Cruiser Prado Tx	1	1	toyota/land-cruiser-prado-tx	no	toyota/land-cruiser-prado	LAND CRUISER PRADO TX
Ford	Mustang Mach Rwd	1	1	ford/mustang-mach-e	LIVE	ford/mustang	MUSTANG MACH-E RWD
Toyota	Land Cruiser Prado Tz	1	1	toyota/land-cruiser-prado-tz	no	toyota/land-cruiser-prado	LAND CRUISER PRADO TZ-G
Ford	Mustang Mach	1	1	ford/mustang-mach-e	LIVE	ford/mustang	MUSTANG MACH-E AWD
Toyota	Landcruiser LC300 Ax	1	1	toyota/landcruiser-lc300-ax	no		LANDCRUISER LC300 AX
Ford	Mustang Mach 1	1	1	ford/mustang	LIVE	ford/mustang	MUSTANG MACH 1
Toyota	Landcruiser LC300 Gx	1	1	toyota/landcruiser-lc300-gx	no		LANDCRUISER LC300 GX
Ford	Mustang Ecoboost Premium	1	1	ford/mustang	LIVE	ford/mustang	MUSTANG ECOBOOST PREMIUM
Bentley	Continental GT S V8	1	1	bentley/continental-gt	LIVE	bentley/continental-gt	CONTINENTAL GT S V8
Bentley	Continental GT	1	1	bentley/continental-gt	LIVE	bentley/continental-gt	CONTINENTAL GT CONVERTIBLE V8
Bentley	Continental GT Azure V8	1	1	bentley/continental-gt	LIVE	bentley/continental-gt	CONTINENTAL GT AZURE V8
Bentley	Bentayga S	1	1	bentley/bentayga	LIVE	bentley/bentayga	BENTAYGA S HYBRID
Bentley	Bentayga Atelier	1	1	bentley/bentayga-atelier	no	bentley/bentayga	BENTAYGA ATELIER HYBRID
Bentley	Bentayga A V8	1	1	bentley/bentayga-a-v8	no	bentley/bentayga	BENTAYGA A V8
Axion	T5	1	1	axion/t5	no		T5
Audi	RS7	1	1	audi/rs7	LIVE	audi/rs7	RS 7 SB q performance
Zxauto	FP3A	1	1	zxauto/fp3a	no		FP3A
Evt	E-Van	1	1	evt/e-van	no		E-VAN
Farizon	Sv	1	1	farizon/sv	no		SV
Foton	BJ1031EVJA3	1	1	foton/bj1031evja3	no		BJ1031EVJA3
Foton	E-View CS2 Passenger	1	1	foton/e-view-cs2-passenger	no		E-VIEW CS2 PASSENGER
Hino	XZB70R-Zemhy	1	1	hino/xzb70r-zemhy	no		XZB70R-ZEMHY
Audi	A3	1	1	audi/a3	LIVE	audi/a3	A3 SB 35 TFSI S line
Kama	ESP7	1	1	kama/esp7	no		ESP7
Aston Martin	Vantage Roadster	1	1	aston-martin/vantage	LIVE	aston-martin/vantage	VANTAGE ROADSTER
MG	V80	1	1	mg/v80	no		V80
Aston Martin	Rapide S	1	1	aston-martin/rapide	LIVE	aston-martin/rapide	RAPIDE S
Tata	Super Ace Mint	1	1	tata/super-ace-mint	no		SUPER ACE MINT
Tata	Winger FL 3200 Fr 125 Ac	1	1	tata/winger-fl-3200-fr-125-ac	no		WINGER FL 3200 FR 125 AC
Toyota	Comuter	1	1	toyota/comuter	no		COMUTER
Aston Martin	Dbs Superleggera	1	1	aston-martin/dbs	LIVE	aston-martin/dbs	DBS SUPERLEGGERA COUPE
Toyota	KDH222R-Lemdyt A3	1	1	toyota/kdh222r-lemdyt-a3	no		KDH222R-LEMDYT A3
Toyota	KDH222R-Lemdyt B5	1	1	toyota/kdh222r-lemdyt-b5	no		KDH222R-LEMDYT B5
Alfa Romeo	Giulia Veloce	1	1	alfa-romeo/giulia-veloce	no	alfa-romeo/giulia	GIULIA VELOCE
Volkswagen	Caravelle 2.0 L	1	1	DROPPED	no	volkswagen/caravelle	CARAVELLE 2.0 L
Volkswagen	Caravelle Comfortline 2	1	1	volkswagen/caravelle-comfortline-2	no	volkswagen/caravelle	CARAVELLE COMFORTLINE 2
Abarth	500E	1	1	abarth/500e	no		500e
Ferrari	Roma Spider	1	1	ferrari/roma-spider	LIVE	ferrari/roma-spider	ROMA SPIDER
Ferrari	Roma	1	1	ferrari/roma	LIVE	ferrari/roma	ROMA
Ferrari	Portofino M	1	1	ferrari/portofino-m	LIVE	ferrari/portofino-m	PORTOFINO M
Ferrari	812 Superfast	1	1	ferrari/812-superfast	LIVE	ferrari/812-superfast	812 SUPERFAST
Ferrari	812 Competizione A	1	1	ferrari/812-competizione-a	LIVE	ferrari/812-competizione-a	812 COMPETIZIONE A
Ferrari	488 Pista	1	1	ferrari/488-pista	LIVE	ferrari/488-pista	488 PISTA
